kW,Day,DayDummy,Month,Date,Hour,semesterBool,TAVG,TMAX,TMIN
453.4967575,Weekday,1,Jan,1,0,1,43,51,38
451.5530014,Weekday,1,Jan,1,1,1,43,51,38
444.2065048,Weekday,1,Jan,1,2,1,43,51,38
442.2674866,Weekday,1,Jan,1,3,1,43,51,38
454.3304977,Weekday,1,Jan,1,4,1,43,51,38
463.3687592,Weekday,1,Jan,1,5,1,43,51,38
452.6522522,Weekday,1,Jan,1,6,1,43,51,38
462.5837555,Weekday,1,Jan,1,7,1,43,51,38
466.0059967,Weekday,1,Jan,1,8,1,43,51,38
479.4902573,Weekday,1,Jan,1,9,1,43,51,38
479.5329971,Weekday,1,Jan,1,10,1,43,51,38
495.3907547,Weekday,1,Jan,1,11,1,43,51,38
489.7034912,Weekday,1,Jan,1,12,1,43,51,38
495.8872528,Weekday,1,Jan,1,13,1,43,51,38
472.9937515,Weekday,1,Jan,1,14,1,43,51,38
491.6729965,Weekday,1,Jan,1,15,1,43,51,38
498.8472443,Weekday,1,Jan,1,16,1,43,51,38
494.2639923,Weekday,1,Jan,1,17,1,43,51,38
514.791748,Weekday,1,Jan,1,18,1,43,51,38
499.6899948,Weekday,1,Jan,1,19,1,43,51,38
465.1887512,Weekday,1,Jan,1,20,1,43,51,38
465.1784973,Weekday,1,Jan,1,21,1,43,51,38
457.1022491,Weekday,1,Jan,1,22,1,43,51,38
467.850502,Weekday,1,Jan,1,23,1,43,51,38
452.1067505,Weekday,1,Jan,2,0,1,41,52,30
455.7047424,Weekday,1,Jan,2,1,1,41,52,30
454.6362534,Weekday,1,Jan,2,2,1,41,52,30
456.1595001,Weekday,1,Jan,2,3,1,41,52,30
450.3494949,Weekday,1,Jan,2,4,1,41,52,30
467.6892471,Weekday,1,Jan,2,5,1,41,52,30
460.3292542,Weekday,1,Jan,2,6,1,41,52,30
492.6530075,Weekday,1,Jan,2,7,1,41,52,30
517.5805054,Weekday,1,Jan,2,8,1,41,52,30
546.3752594,Weekday,1,Jan,2,9,1,41,52,30
573.2727509,Weekday,1,Jan,2,10,1,41,52,30
581.9212494,Weekday,1,Jan,2,11,1,41,52,30
603.4319916,Weekday,1,Jan,2,12,1,41,52,30
576.6782379,Weekday,1,Jan,2,13,1,41,52,30
573.6624908,Weekday,1,Jan,2,14,1,41,52,30
576.9277496,Weekday,1,Jan,2,15,1,41,52,30
576.9109955,Weekday,1,Jan,2,16,1,41,52,30
559.6332703,Weekday,1,Jan,2,17,1,41,52,30
541.6075134,Weekday,1,Jan,2,18,1,41,52,30
534.4812469,Weekday,1,Jan,2,19,1,41,52,30
503.0639954,Weekday,1,Jan,2,20,1,41,52,30
499.6044922,Weekday,1,Jan,2,21,1,41,52,30
493.9944916,Weekday,1,Jan,2,22,1,41,52,30
502.6684952,Weekday,1,Jan,2,23,1,41,52,30
507.5255127,Weekday,1,Jan,3,0,1,43,57,33
471.3407516,Weekday,1,Jan,3,1,1,43,57,33
453.3639984,Weekday,1,Jan,3,2,1,43,57,33
463.7452545,Weekday,1,Jan,3,3,1,43,57,33
453.7184982,Weekday,1,Jan,3,4,1,43,57,33
463.4422455,Weekday,1,Jan,3,5,1,43,57,33
476.2237473,Weekday,1,Jan,3,6,1,43,57,33
476.8395004,Weekday,1,Jan,3,7,1,43,57,33
486.5764999,Weekday,1,Jan,3,8,1,43,57,33
551.6972351,Weekday,1,Jan,3,9,1,43,57,33
585.8644867,Weekday,1,Jan,3,10,1,43,57,33
582.4407654,Weekday,1,Jan,3,11,1,43,57,33
582.7975006,Weekday,1,Jan,3,12,1,43,57,33
592.9877625,Weekday,1,Jan,3,13,1,43,57,33
562.2192688,Weekday,1,Jan,3,14,1,43,57,33
562.8132477,Weekday,1,Jan,3,15,1,43,57,33
589.932251,Weekday,1,Jan,3,16,1,43,57,33
554.8334961,Weekday,1,Jan,3,17,1,43,57,33
536.0327454,Weekday,1,Jan,3,18,1,43,57,33
534.4572449,Weekday,1,Jan,3,19,1,43,57,33
510.1565018,Weekday,1,Jan,3,20,1,43,57,33
521.7799911,Weekday,1,Jan,3,21,1,43,57,33
502.4359894,Weekday,1,Jan,3,22,1,43,57,33
510.8672562,Weekday,1,Jan,3,23,1,43,57,33
472.9509964,Weekday,1,Jan,4,0,1,48,67,37
474.4574966,Weekday,1,Jan,4,1,1,48,67,37
471.5139923,Weekday,1,Jan,4,2,1,48,67,37
472.0455017,Weekday,1,Jan,4,3,1,48,67,37
494.2272491,Weekday,1,Jan,4,4,1,48,67,37
472.0427551,Weekday,1,Jan,4,5,1,48,67,37
481.290741,Weekday,1,Jan,4,6,1,48,67,37
467.772995,Weekday,1,Jan,4,7,1,48,67,37
512.0635071,Weekday,1,Jan,4,8,1,48,67,37
544.7225189,Weekday,1,Jan,4,9,1,48,67,37
592.0084991,Weekday,1,Jan,4,10,1,48,67,37
580.1480103,Weekday,1,Jan,4,11,1,48,67,37
581.3070068,Weekday,1,Jan,4,12,1,48,67,37
569.0427551,Weekday,1,Jan,4,13,1,48,67,37
561.2769928,Weekday,1,Jan,4,14,1,48,67,37
565.2127533,Weekday,1,Jan,4,15,1,48,67,37
571.9330139,Weekday,1,Jan,4,16,1,48,67,37
548.7360153,Weekday,1,Jan,4,17,1,48,67,37
525.8404999,Weekday,1,Jan,4,18,1,48,67,37
496.4562454,Weekday,1,Jan,4,19,1,48,67,37
510.2884903,Weekday,1,Jan,4,20,1,48,67,37
488.6287537,Weekday,1,Jan,4,21,1,48,67,37
491.6272507,Weekday,1,Jan,4,22,1,48,67,37
483.5837555,Weekday,1,Jan,4,23,1,48,67,37
470.9237442,Weekend,0,Jan,5,0,1,54,67,45
