kW,DayDummy,Date,Hour,semesterBool,TMAX,TMIN
453.4967575,1,1,0,1,51,38
451.5530014,1,1,1,1,51,38
444.2065048,1,1,2,1,51,38
442.2674866,1,1,3,1,51,38
454.3304977,1,1,4,1,51,38
463.3687592,1,1,5,1,51,38
452.6522522,1,1,6,1,51,38
462.5837555,1,1,7,1,51,38
466.0059967,1,1,8,1,51,38
479.4902573,1,1,9,1,51,38
479.5329971,1,1,10,1,51,38
495.3907547,1,1,11,1,51,38
489.7034912,1,1,12,1,51,38
495.8872528,1,1,13,1,51,38
472.9937515,1,1,14,1,51,38
491.6729965,1,1,15,1,51,38
498.8472443,1,1,16,1,51,38
494.2639923,1,1,17,1,51,38
514.791748,1,1,18,1,51,38
499.6899948,1,1,19,1,51,38
465.1887512,1,1,20,1,51,38
465.1784973,1,1,21,1,51,38
457.1022491,1,1,22,1,51,38
467.850502,1,1,23,1,51,38
452.1067505,1,2,0,1,52,30
455.7047424,1,2,1,1,52,30
454.6362534,1,2,2,1,52,30
456.1595001,1,2,3,1,52,30
450.3494949,1,2,4,1,52,30
467.6892471,1,2,5,1,52,30
460.3292542,1,2,6,1,52,30
492.6530075,1,2,7,1,52,30
517.5805054,1,2,8,1,52,30
546.3752594,1,2,9,1,52,30
573.2727509,1,2,10,1,52,30
581.9212494,1,2,11,1,52,30
603.4319916,1,2,12,1,52,30
576.6782379,1,2,13,1,52,30
573.6624908,1,2,14,1,52,30
576.9277496,1,2,15,1,52,30
576.9109955,1,2,16,1,52,30
559.6332703,1,2,17,1,52,30
541.6075134,1,2,18,1,52,30
534.4812469,1,2,19,1,52,30
503.0639954,1,2,20,1,52,30
499.6044922,1,2,21,1,52,30
493.9944916,1,2,22,1,52,30
502.6684952,1,2,23,1,52,30
507.5255127,1,3,0,1,57,33
471.3407516,1,3,1,1,57,33
453.3639984,1,3,2,1,57,33
463.7452545,1,3,3,1,57,33
453.7184982,1,3,4,1,57,33
463.4422455,1,3,5,1,57,33
476.2237473,1,3,6,1,57,33
476.8395004,1,3,7,1,57,33
486.5764999,1,3,8,1,57,33
551.6972351,1,3,9,1,57,33
585.8644867,1,3,10,1,57,33
582.4407654,1,3,11,1,57,33
582.7975006,1,3,12,1,57,33
592.9877625,1,3,13,1,57,33
562.2192688,1,3,14,1,57,33
562.8132477,1,3,15,1,57,33
589.932251,1,3,16,1,57,33
554.8334961,1,3,17,1,57,33
536.0327454,1,3,18,1,57,33
534.4572449,1,3,19,1,57,33
510.1565018,1,3,20,1,57,33
521.7799911,1,3,21,1,57,33
502.4359894,1,3,22,1,57,33
510.8672562,1,3,23,1,57,33
472.9509964,1,4,0,1,67,37
474.4574966,1,4,1,1,67,37
471.5139923,1,4,2,1,67,37
472.0455017,1,4,3,1,67,37
494.2272491,1,4,4,1,67,37
472.0427551,1,4,5,1,67,37
481.290741,1,4,6,1,67,37
467.772995,1,4,7,1,67,37
512.0635071,1,4,8,1,67,37
544.7225189,1,4,9,1,67,37
592.0084991,1,4,10,1,67,37
580.1480103,1,4,11,1,67,37
581.3070068,1,4,12,1,67,37
569.0427551,1,4,13,1,67,37
561.2769928,1,4,14,1,67,37
565.2127533,1,4,15,1,67,37
571.9330139,1,4,16,1,67,37
548.7360153,1,4,17,1,67,37
525.8404999,1,4,18,1,67,37
496.4562454,1,4,19,1,67,37
510.2884903,1,4,20,1,67,37
488.6287537,1,4,21,1,67,37
491.6272507,1,4,22,1,67,37
483.5837555,1,4,23,1,67,37
470.9237442,0,5,0,1,67,45
462.3547592,0,5,1,1,67,45
442.8862534,0,5,2,1,67,45
449.0424957,0,5,3,1,67,45
459.3987503,0,5,4,1,67,45
446.3299942,0,5,5,1,67,45
490.2280045,0,5,6,1,67,45
455.1429901,0,5,7,1,67,45
455.0810013,0,5,8,1,67,45
452.3272476,0,5,9,1,67,45
490.5827484,0,5,10,1,67,45
507.8257446,0,5,11,1,67,45
488.2935028,0,5,12,1,67,45
512.3627472,0,5,13,1,67,45
499.840004,0,5,14,1,67,45
530.9732513,0,5,15,1,67,45
506.9202499,0,5,16,1,67,45
509.2589951,0,5,17,1,67,45
485.4580002,0,5,18,1,67,45
499.0479965,0,5,19,1,67,45
501.4632492,0,5,20,1,67,45
477.5949936,0,5,21,1,67,45
480.0185013,0,5,22,1,67,45
470.7167587,0,5,23,1,67,45
463.1647491,0,6,0,1,55,47
443.8045044,0,6,1,1,55,47
450.5189972,0,6,2,1,55,47
443.3337555,0,6,3,1,55,47
482.1569977,0,6,4,1,55,47
455.0552521,0,6,5,1,55,47
446.9615021,0,6,6,1,55,47
461.2764969,0,6,7,1,55,47
469.8127518,0,6,8,1,55,47
471.3779984,0,6,9,1,55,47
490.6077423,0,6,10,1,55,47
488.8737411,0,6,11,1,55,47
497.7272491,0,6,12,1,55,47
479.4502563,0,6,13,1,55,47
494.7427521,0,6,14,1,55,47
512.0369949,0,6,15,1,55,47
510.2860031,0,6,16,1,55,47
502.9187546,0,6,17,1,55,47
509.6924973,0,6,18,1,55,47
487.807251,0,6,19,1,55,47
480.3644943,0,6,20,1,55,47
483.0544968,0,6,21,1,55,47
471.6530075,0,6,22,1,55,47
486.6679993,0,6,23,1,55,47
444.0662537,1,7,0,1,63,43
463.2227554,1,7,1,1,63,43
470.4872437,1,7,2,1,63,43
449.9434967,1,7,3,1,63,43
457.7245026,1,7,4,1,63,43
453.6395035,1,7,5,1,63,43
467.7624969,1,7,6,1,63,43
472.1697464,1,7,7,1,63,43
495.3130035,1,7,8,1,63,43
523.302742,1,7,9,1,63,43
568.6412506,1,7,10,1,63,43
599.6512604,1,7,11,1,63,43
574.3235016,1,7,12,1,63,43
591.6247406,1,7,13,1,63,43
598.4505157,1,7,14,1,63,43
582.383255,1,7,15,1,63,43
589.6440125,1,7,16,1,63,43
562.7114868,1,7,17,1,63,43
539.2317505,1,7,18,1,63,43
513.0059967,1,7,19,1,63,43
511.6467438,1,7,20,1,63,43
489.2622528,1,7,21,1,63,43
500.8525009,1,7,22,1,63,43
480.3009949,1,7,23,1,63,43
473.8330002,1,8,0,1,72,43
446.7477493,1,8,1,1,72,43
463.7037582,1,8,2,1,72,43
462.3692551,1,8,3,1,72,43
473.8834991,1,8,4,1,72,43
460.2069931,1,8,5,1,72,43
478.0220032,1,8,6,1,72,43
504.0789948,1,8,7,1,72,43
514.1262512,1,8,8,1,72,43
537.0270081,1,8,9,1,72,43
611.3409882,1,8,10,1,72,43
611.3682404,1,8,11,1,72,43
576.988739,1,8,12,1,72,43
605.9667664,1,8,13,1,72,43
584.364502,1,8,14,1,72,43
571.1892395,1,8,15,1,72,43
593.8784943,1,8,16,1,72,43
566.6110077,1,8,17,1,72,43
545.3774872,1,8,18,1,72,43
542.0780029,1,8,19,1,72,43
517.8360138,1,8,20,1,72,43
540.34375,1,8,21,1,72,43
492.9762497,1,8,22,1,72,43
489.1750031,1,8,23,1,72,43
481.3989944,1,9,0,1,73,48
468.3310013,1,9,1,1,73,48
465.3959961,1,9,2,1,73,48
459.0699997,1,9,3,1,73,48
473.6764984,1,9,4,1,73,48
471.0422592,1,9,5,1,73,48
488.7992477,1,9,6,1,73,48
503.7652435,1,9,7,1,73,48
518.9757614,1,9,8,1,73,48
551.0950165,1,9,9,1,73,48
579.252243,1,9,10,1,73,48
601.6372528,1,9,11,1,73,48
591.4412689,1,9,12,1,73,48
616.3529968,1,9,13,1,73,48
613.1322479,1,9,14,1,73,48
619.3837433,1,9,15,1,73,48
613.1759949,1,9,16,1,73,48
572.4132385,1,9,17,1,73,48
552.017746,1,9,18,1,73,48
534.1179962,1,9,19,1,73,48
535.5510101,1,9,20,1,73,48
520.9592438,1,9,21,1,73,48
498.8667526,1,9,22,1,73,48
481.4570007,1,9,23,1,73,48
474.197998,1,10,0,1,67,50
456.8630066,1,10,1,1,67,50
477.1787491,1,10,2,1,67,50
459.1187439,1,10,3,1,67,50
461.975502,1,10,4,1,67,50
454.5910034,1,10,5,1,67,50
465.78125,1,10,6,1,67,50
466.7300034,1,10,7,1,67,50
513.4639969,1,10,8,1,67,50
541.5092468,1,10,9,1,67,50
463.1743215,1,10,10,1,67,50
567.7777557,1,10,11,1,67,50
583.8857574,1,10,12,1,67,50
581.2007599,1,10,13,1,67,50
590.2704926,1,10,14,1,67,50
581.1659851,1,10,15,1,67,50
599.3397522,1,10,16,1,67,50
576.6342621,1,10,17,1,67,50
550.1642609,1,10,18,1,67,50
528.8642578,1,10,19,1,67,50
530.463501,1,10,20,1,67,50
521.0967484,1,10,21,1,67,50
497.4455032,1,10,22,1,67,50
513.8362427,1,10,23,1,67,50
474.9434967,1,11,0,1,66,45
461.6502533,1,11,1,1,66,45
489.482254,1,11,2,1,66,45
462.5387573,1,11,3,1,66,45
478.2290039,1,11,4,1,66,45
469.3694992,1,11,5,1,66,45
475.126503,1,11,6,1,66,45
490.3002548,1,11,7,1,66,45
509.9127502,1,11,8,1,66,45
543.3772583,1,11,9,1,66,45
599.3982544,1,11,10,1,66,45
624.4344788,1,11,11,1,66,45
592.9747314,1,11,12,1,66,45
592.8359985,1,11,13,1,66,45
596.239502,1,11,14,1,66,45
588.2459869,1,11,15,1,66,45
592.2922668,1,11,16,1,66,45
574.3757477,1,11,17,1,66,45
530.7337494,1,11,18,1,66,45
514.4749832,1,11,19,1,66,45
485.0822525,1,11,20,1,66,45
480.0982513,1,11,21,1,66,45
467.6969986,1,11,22,1,66,45
478.6534958,1,11,23,1,66,45
462.8772507,0,12,0,1,69,47
456.8757401,0,12,1,1,69,47
446.2905045,0,12,2,1,69,47
452.7720032,0,12,3,1,69,47
445.503746,0,12,4,1,69,47
443.7269974,0,12,5,1,69,47
452.3587494,0,12,6,1,69,47
446.2152557,0,12,7,1,69,47
469.9354935,0,12,8,1,69,47
458.9527512,0,12,9,1,69,47
487.0529938,0,12,10,1,69,47
492.4810028,0,12,11,1,69,47
511.8797531,0,12,12,1,69,47
508.570755,0,12,13,1,69,47
538.0912476,0,12,14,1,69,47
548.0792542,0,12,15,1,69,47
510.9907608,0,12,16,1,69,47
503.6560059,0,12,17,1,69,47
500.5834961,0,12,18,1,69,47
492.2325058,0,12,19,1,69,47
489.1647568,0,12,20,1,69,47
480.9635086,0,12,21,1,69,47
473.8119965,0,12,22,1,69,47
480.8187561,0,12,23,1,69,47
473.701004,0,13,0,1,63,47
470.2330093,0,13,1,1,63,47
461.5394974,0,13,2,1,63,47
444.0629959,0,13,3,1,63,47
448.3194962,0,13,4,1,63,47
464.7845078,0,13,5,1,63,47
463.8164978,0,13,6,1,63,47
447.7480087,0,13,7,1,63,47
463.2427521,0,13,8,1,63,47
477.0684967,0,13,9,1,63,47
460.7062378,0,13,10,1,63,47
454.2919998,0,13,11,1,63,47
468.2604904,0,13,12,1,63,47
482.3669891,0,13,13,1,63,47
499.5619965,0,13,14,1,63,47
500.0712509,0,13,15,1,63,47
487.3322525,0,13,16,1,63,47
492.3027496,0,13,17,1,63,47
482.6474991,0,13,18,1,63,47
487.6632538,0,13,19,1,63,47
480.2867508,0,13,20,1,63,47
465.3769989,0,13,21,1,63,47
469.1090012,0,13,22,1,63,47
465.9240036,0,13,23,1,63,47
455.680748,1,14,0,1,70,51
461.7705002,1,14,1,1,70,51
450.477005,1,14,2,1,70,51
451.1504974,1,14,3,1,70,51
455.2149887,1,14,4,1,70,51
457.0552597,1,14,5,1,70,51
455.6282578,1,14,6,1,70,51
484.9104996,1,14,7,1,70,51
491.4205017,1,14,8,1,70,51
527.7847748,1,14,9,1,70,51
570.591507,1,14,10,1,70,51
566.7239838,1,14,11,1,70,51
586.6524963,1,14,12,1,70,51
572.6982422,1,14,13,1,70,51
582.3287659,1,14,14,1,70,51
588.1040039,1,14,15,1,70,51
596.4200134,1,14,16,1,70,51
574.0337677,1,14,17,1,70,51
546.9902496,1,14,18,1,70,51
522.2734985,1,14,19,1,70,51
507.0144958,1,14,20,1,70,51
493.513504,1,14,21,1,70,51
480.9622498,1,14,22,1,70,51
470.6522522,1,14,23,1,70,51
475.4927521,1,15,0,1,65,53
454.0412521,1,15,1,1,65,53
460.7645035,1,15,2,1,65,53
461.5797501,1,15,3,1,65,53
459.7112427,1,15,4,1,65,53
471.1012573,1,15,5,1,65,53
495.1002426,1,15,6,1,65,53
498.0490036,1,15,7,1,65,53
499.2829895,1,15,8,1,65,53
552.0590134,1,15,9,1,65,53
570.9667511,1,15,10,1,65,53
584.0565033,1,15,11,1,65,53
614.4127502,1,15,12,1,65,53
583.1674957,1,15,13,1,65,53
576.6232605,1,15,14,1,65,53
572.9837494,1,15,15,1,65,53
579.7799988,1,15,16,1,65,53
580.1557465,1,15,17,1,65,53
540.0322571,1,15,18,1,65,53
551.6237488,1,15,19,1,65,53
518.873497,1,15,20,1,65,53
515.256012,1,15,21,1,65,53
515.0222473,1,15,22,1,65,53
489.8209991,1,15,23,1,65,53
474.9365005,1,16,0,1,69,50
467.926506,1,16,1,1,69,50
460.3249969,1,16,2,1,69,50
462.5487518,1,16,3,1,69,50
463.5055084,1,16,4,1,69,50
466.128746,1,16,5,1,69,50
465.9357452,1,16,6,1,69,50
492.9517441,1,16,7,1,69,50
520.7785034,1,16,8,1,69,50
552.9612579,1,16,9,1,69,50
579.9707489,1,16,10,1,69,50
