DayDummy,Date,Hour,semesterBool,TMAX,TMIN,kW
1,1,0,1,51,38,1
1,1,1,1,51,38,1
1,1,2,1,51,38,3
1,1,3,1,51,38,3
1,1,4,1,51,38,1
1,1,5,1,51,38,1
1,1,6,1,51,38,1
1,1,7,1,51,38,1
1,1,8,1,51,38,1
1,1,9,1,51,38,1
1,1,10,1,51,38,1
1,1,11,1,51,38,1
1,1,12,1,51,38,1
1,1,13,1,51,38,1
1,1,14,1,51,38,1
1,1,15,1,51,38,1
1,1,16,1,51,38,1
1,1,17,1,51,38,1
1,1,18,1,51,38,2
1,1,19,1,51,38,1
1,1,20,1,51,38,1
1,1,21,1,51,38,1
1,1,22,1,51,38,1
1,1,23,1,51,38,1
1,2,0,1,52,30,1
1,2,1,1,52,30,1
1,2,2,1,52,30,1
1,2,3,1,52,30,1
1,2,4,1,52,30,1
1,2,5,1,52,30,1
1,2,6,1,52,30,1
1,2,7,1,52,30,1
1,2,8,1,52,30,2
1,2,9,1,52,30,2
1,2,10,1,52,30,3
1,2,11,1,52,30,3
1,2,12,1,52,30,3
1,2,13,1,52,30,3
1,2,14,1,52,30,3
1,2,15,1,52,30,3
1,2,16,1,52,30,3
1,2,17,1,52,30,3
1,2,18,1,52,30,2
1,2,19,1,52,30,2
1,2,20,1,52,30,2
1,2,21,1,52,30,1
1,2,22,1,52,30,1
1,2,23,1,52,30,2
1,3,0,1,57,33,2
1,3,1,1,57,33,1
1,3,2,1,57,33,1
1,3,3,1,57,33,1
1,3,4,1,57,33,1
1,3,5,1,57,33,1
1,3,6,1,57,33,1
1,3,7,1,57,33,1
1,3,8,1,57,33,1
1,3,9,1,57,33,3
1,3,10,1,57,33,3
1,3,11,1,57,33,3
1,3,12,1,57,33,3
1,3,13,1,57,33,3
1,3,14,1,57,33,3
1,3,15,1,57,33,3
1,3,16,1,57,33,3
1,3,17,1,57,33,3
1,3,18,1,57,33,2
1,3,19,1,57,33,2
1,3,20,1,57,33,2
1,3,21,1,57,33,2
1,3,22,1,57,33,2
1,3,23,1,57,33,2
1,4,0,1,67,37,1
1,4,1,1,67,37,1
1,4,2,1,67,37,1
1,4,3,1,67,37,1
1,4,4,1,67,37,1
1,4,5,1,67,37,1
1,4,6,1,67,37,1
1,4,7,1,67,37,1
1,4,8,1,67,37,2
1,4,9,1,67,37,2
1,4,10,1,67,37,3
1,4,11,1,67,37,3
1,4,12,1,67,37,3
1,4,13,1,67,37,3
1,4,14,1,67,37,3
1,4,15,1,67,37,3
1,4,16,1,67,37,3
1,4,17,1,67,37,2
1,4,18,1,67,37,2
1,4,19,1,67,37,1
