Building Name,"Building 
Number",Status,Type,Campus,Abbreviation,Address,GSF
GAMMAGE AUDITORIUM,1,atleast one project,Academic,Tempe,GGMA,1200 S. FOREST AVENUE,150097
INTERDISCIPLINARY A,2,atleast one project,Academic,Tempe,INTDSA,1100 S. CADY MALL,28332
INTERDISCIPLINARY B,3,atleast one project,Academic,Tempe,INTDSB,1120 S. CADY MALL,62941
SHESC,4,atleast one project,Academic,Tempe,SHESC,900 S. CADY MALL,49078
SOCIAL SCIENCES BLDG.,5,No projects so far,Academic,Tempe,SS,951 S. CADY MALL,87673
FARMER EDUCATION BLDG.,006A,atleast one project,Academic,Tempe,ED,1050 S. FOREST MALL,95944
PAYNE HALL,006B,atleast one project,Academic,Tempe,EDB,1000 S. FOREST MALL,94898
EDUCATION LECTURE HALL,006C,atleast one project,Academic,Tempe,EDC,100 E. GAMMAGE PARKWAY,7481
WRIGLEY HALL,7,atleast one project,Academic,Tempe,WGHL,800 S. CADY MALL,51742
DANFORTH CHAPEL,8,atleast one project,Academic,Tempe,CHAPL,1050 S. CADY MALL,1629
DIXIE GAMMAGE HALL,9,atleast one project,Academic,Tempe,GHALL,1001 S. FOREST MALL,23549
HAYDEN LIBRARY,10,atleast one project,Academic,Tempe,LIB,300 E. ORANGE MALL,354258
UNIVERSITY CLUB,11,atleast one project,Academic,Tempe,UCLUB,425 E. UNIVERSITY DRIVE,12761
LANG AND LIT,12,atleast one project,Academic,Tempe,LL,851 S. CADY MALL,137065
PSYCHOLOGY BLDG.,13,atleast one project,Academic,Tempe,PSY,950 S. McALLISTER AVENUE,84885
HAYDEN HALL,14,atleast one project,Housing,Tempe,HAYDN,250 E. APACHE BOULEVARD,30934
HAYDEN HALL EAST,014E,atleast one project,Housing,Tempe,HHE,1260 S. COLLEGE AVENUE,32294
HAYDEN HALL WEST,014W,No projects so far,Housing,Tempe,HHW,1251 S. FOREST AVENUE,27792
CENTRAL PLANT,15,atleast one project,Electrical,Tempe,CP,452 E. ORANGE STREET,45305
UNIVERSITY TUNNEL NETWORK,015A,No projects so far,Academic,Tempe,UTN,452 E. ORANGE STREET,184010
PALM WALK OVERPASS,015B,No projects so far,Academic,Tempe,PWOP,452 E. UNIVERSITY DRIVE,2416
COWDEN FAMILY RESOURCES BLDG.,16,atleast one project,Academic,Tempe,COWDN,850 S. CADY MALL,34171
CENTER FOR FAMILY STUDIES,17,atleast one project,Academic,Tempe,CFS,851 S. FOREST MALL,9703
RESEARCH SUPPORT SERVICES 1,18,No projects so far,Academic,Tempe,RSS1,851 S. McALLISTER AVENUE,14968
MURDOCK HALL,21,atleast one project,Academic,Tempe,MUR,450 E. ORANGE MALL,25139
TOWER CENTER BUILDING A (EAST),023A,No projects so far,Academic,Tempe,TOWER,123 E. UNIVERSITY DRIVE,18026
TOWER CENTER BUILDING B (WEST),023B,No projects so far,Academic,Tempe,TOWER,123 E. UNIVERSITY DRIVE,9912
STAUFFER A Wing,024A,atleast one project,Academic,Tempe,STAUF,950 S. FOREST MALL,47366
STAUFFER B Wing,024B,atleast one project,Academic,Tempe,STAUF,950 S. FOREST MALL,36294
HEALTH SERVICES,25,atleast one project,Academic,Tempe,HSB,451 E. UNIVERSITY DRIVE,36904
IRISH HALL A (ACADEMIC OFFICES),026A,No projects so far,Housing,Tempe,IRISH,1250 S. COLLEGE AVENUE,12911
IRISH HALL B (NORTHWEST),026B,atleast one project,Housing,Tempe,IRISH,1250 S. COLLEGE AVENUE,11742
IRISH HALL C (SOUTHWEST),026C,No projects so far,Housing,Tempe,IRISH,1250 S. COLLEGE AVENUE,11742
LYCEUM THEATER,27,atleast one project,Academic,Tempe,LYC,901 S. FOREST MALL,11985
MCCLINTOCK HALL,28,atleast one project,Academic,Tempe,MCL,951 S. FOREST MALL,49108
PSYCHOLOGY NORTH,031A,atleast one project,Academic,Tempe,PSYN,900 S. McALLISTER AVENUE,65907
OLD MAIN,32,atleast one project,Academic,Tempe,MAIN,400 E. TYLER MALL,45017
MATTHEWS HALL,33,atleast one project,Academic,Tempe,MHALL,925 S. FOREST MALL,17132
MATTHEWS CENTER,34,atleast one project,Academic,Tempe,MCENT,950 S. CADY MALL,74180
MEMORIAL UNION,35,atleast one project,Academic,Tempe,MU,301 E. ORANGE MALL,272278
SUN DEVIL HALL,36,No projects so far,Academic,Tempe,SDH,451 E. ORANGE MALL,59951
MOEUR BLDG.,37,atleast one project,Academic,Tempe,MOEUR,201 E. ORANGE MALL,33739
BEST HALL A,038A,atleast one project,Housing,Tempe,MB,1201 S. FOREST AVENUE,18835
BEST HALL B,038B,atleast one project,Housing,Tempe,MB,1201 S. FOREST AVENUE,19300
BEST HALL C,038C,atleast one project,Housing,Tempe,MB,1201 S. FOREST AVENUE,48188
BOOKSTORE,39,atleast one project,Academic,Tempe,BKSTR,525 E. ORANGE STREET,45224
BUS ADMIN AB,40,atleast one project,Academic,Tempe,BA,300 E. LEMON STREET,131797
BUS ADMIN C WING,040C,atleast one project,Academic,Tempe,BAC,400 E. LEMON STREET,121440
MCCORD HALL,040D,atleast one project,Academic,Tempe,MCRD,450 E. LEMON ST.,140092
BULLDOG HALL,41,atleast one project,Academic,Tempe,BDH,611 E. ORANGE STREET,84189
PIPER WRITING CENTER,42,atleast one project,Academic,Tempe,PWH,450 E. TYLER MALL,4314
ARMSTRONG HALL,43,atleast one project,Academic,Tempe,ARM,1100 S. McALLISTER AVENUE,105232
DISCOVERY HALL,44,atleast one project,Academic,Tempe,DISCVRY,250 E. LEMON STREET,44203
STUDENT SERVICES BLDG.,45,atleast one project,Academic,Tempe,SSV,1151 S. FOREST AVENUE,118966
SUN DEVIL FITNESS COMPLEX,46,atleast one project,Sports/Stadiums,Tempe,SDFCT,500 E. APACHE BOULEVARD,254766
NOBLE SCIENCE LIBRARY,47,atleast one project,Academic,Tempe,NOBLE,601 E. TYLER MALL,101262
NELSON FINE ARTS CENTER,48,atleast one project,Academic,Tempe,FAC,51 E. 10TH STREET,144086
WEST HALL,49,atleast one project,Academic,Tempe,WHALL,1000 S. CADY MALL,32841
WILSON HALL,50,atleast one project,Academic,Tempe,WILSN,240 E. ORANGE MALL,33713
PV EAST (F),051F,atleast one project,Housing,Tempe,PVE,510 E. UNIVERSITY DRIVE,106440
PV WEST (G),051G,atleast one project,Housing,Tempe,PVW,430 E. UNIVERSITY DRIVE,111304
ENGINEERING CENTER A,053A,atleast one project,Academic,Tempe,ECA,1031 S. PALM WALK,55033
ENGINEERING CENTER B,053B,atleast one project,Academic,Tempe,ECB,1011 S. PALM WALK,16185
ENGINEERING CENTER C,053C,atleast one project,Academic,Tempe,ECC,1001 S. PALM WALK,16584
ENGINEERING CENTER D,053D,atleast one project,Academic,Tempe,ECD,971 S. PALM WALK,16360
ENGINEERING CENTER E,053E,atleast one project,Academic,Tempe,ECE,961 S. PALM WALK,15981
ENGINEERING CENTER F,053F,atleast one project,Academic,Tempe,ECF,951 S. PALM WALK,16897
ENGINEERING G,053G,atleast one project,Academic,Tempe,ECG,501 E. TYLER MALL,78268
INTERDISCIPLINARY SCIENCE AND TECHNOLOGY BUILDING II,54,atleast one project,Academic,Tempe,ISTB2,850 S. McALLISTER AVENUE,71248
INTERDISCIPLINARY SCIENCE AND TECHNOLOGY BLDG II SUPPORT,054A,No projects so far,Academic,Tempe,054A,848 S. McALLISTER AVENUE,5850
SCHWADA COB,55,atleast one project,Academic,Tempe,SCOB,620 E. ORANGE STREET,126985
LIFE SCIENCES CENTER A (As a separate block),056A,No projects so far,Academic,Tempe,LSA,451 E. TYLER MALL,87142
LIFE SCIENCES CENTER B-ANIMAL CARE (As a separate block),056B,No projects so far,Academic,Tempe,LSB,425 E. TYLER MALL,8982
LIFE SCIENCES CENTER C,056C,atleast one project,Academic,Tempe,LSC,401 E. TYLER MALL,117562
LIFE SCIENCES CENTER D-AQUATIC TERRESTRIAL (As a separate block),056D,No projects so far,Academic,Tempe,LSD,435 E. TYLER MALL,5166
LIFE SCIENCES TOWER E-WING,056E,atleast one project,Academic,Tempe,LSE,427 E. TYLER MALL,204349
WEXLER HALL (Physical Sciences A),057A,atleast one project,Academic,Tempe,WXLR,901 S. PALM WALK,98035
BATEMAN PHYSICAL SCIENCES CENTER B,057B,atleast one project,Academic,Tempe,PSB,875 S. PALM WALK,48577
