Date,Semester/Holiday,Details
1/1/19,0,Break
1/2/19,0,Break
1/3/19,0,Break
1/4/19,0,Break
1/5/19,0,Break
1/6/19,0,Break
1/7/19,1,Spring Semester
1/8/19,1,Spring Semester
1/9/19,1,Spring Semester
1/10/19,1,Spring Semester
1/11/19,1,Spring Semester
1/12/19,1,Spring Semester
1/13/19,1,Spring Semester
1/14/19,1,Spring Semester
1/15/19,1,Spring Semester
1/16/19,1,Spring Semester
1/17/19,1,Spring Semester
1/18/19,1,Spring Semester
1/19/19,1,Spring Semester
1/20/19,1,Spring Semester
1/21/19,0,Martin Luther King Day
1/22/19,1,Spring Semester
1/23/19,1,Spring Semester
1/24/19,1,Spring Semester
1/25/19,1,Spring Semester
1/26/19,1,Spring Semester
1/27/19,1,Spring Semester
1/28/19,1,Spring Semester
1/29/19,1,Spring Semester
1/30/19,1,Spring Semester
1/31/19,1,Spring Semester
2/1/19,1,Spring Semester
2/2/19,1,Spring Semester
2/3/19,1,Spring Semester
2/4/19,1,Spring Semester
2/5/19,1,Spring Semester
2/6/19,1,Spring Semester
2/7/19,1,Spring Semester
2/8/19,1,Spring Semester
2/9/19,1,Spring Semester
2/10/19,1,Spring Semester
2/11/19,1,Spring Semester
2/12/19,1,Spring Semester
2/13/19,1,Spring Semester
2/14/19,1,Spring Semester
2/15/19,1,Spring Semester
2/16/19,1,Spring Semester
2/17/19,1,Spring Semester
2/18/19,1,Spring Semester
2/19/19,1,Spring Semester
2/20/19,1,Spring Semester
2/21/19,1,Spring Semester
2/22/19,1,Spring Semester
2/23/19,1,Spring Semester
2/24/19,1,Spring Semester
2/25/19,1,Spring Semester
2/26/19,1,Spring Semester
2/27/19,1,Spring Semester
2/28/19,1,Spring Semester
3/1/19,1,Spring Semester
3/2/19,1,Spring Semester
3/3/19,0,Spring break
3/4/19,0,Spring break
3/5/19,0,Spring break
3/6/19,0,Spring break
3/7/19,0,Spring break
3/8/19,0,Spring break
3/9/19,0,Spring break
3/10/19,0,Spring break
3/11/19,1,Spring Semester
3/12/19,1,Spring Semester
3/13/19,1,Spring Semester
3/14/19,1,Spring Semester
3/15/19,1,Spring Semester
3/16/19,1,Spring Semester
3/17/19,1,Spring Semester
3/18/19,1,Spring Semester
3/19/19,1,Spring Semester
3/20/19,1,Spring Semester
3/21/19,1,Spring Semester
3/22/19,1,Spring Semester
3/23/19,1,Spring Semester
3/24/19,1,Spring Semester
3/25/19,1,Spring Semester
3/26/19,1,Spring Semester
3/27/19,1,Spring Semester
3/28/19,1,Spring Semester
3/29/19,1,Spring Semester
3/30/19,1,Spring Semester
3/31/19,1,Spring Semester
4/1/19,1,Spring Semester
4/2/19,1,Spring Semester
4/3/19,1,Spring Semester
4/4/19,1,Spring Semester
4/5/19,1,Spring Semester
4/6/19,1,Spring Semester
4/7/19,1,Spring Semester
4/8/19,1,Spring Semester
4/9/19,1,Spring Semester
4/10/19,1,Spring Semester
4/11/19,1,Spring Semester
4/12/19,1,Spring Semester
4/13/19,1,Spring Semester
4/14/19,1,Spring Semester
4/15/19,1,Spring Semester
4/16/19,1,Spring Semester
4/17/19,1,Spring Semester
4/18/19,1,Spring Semester
4/19/19,1,Spring Semester
4/20/19,1,Spring Semester
4/21/19,1,Spring Semester
4/22/19,1,Spring Semester
4/23/19,1,Spring Semester
4/24/19,1,Spring Semester
4/25/19,1,Spring Semester
4/26/19,1,Spring Semester
4/27/19,1,Spring Semester
4/28/19,1,Spring Semester
4/29/19,1,Spring Semester
4/30/19,1,Spring Semester
5/1/19,1,Spring Semester
5/2/19,1,Spring Semester
5/3/19,1,Spring Semester
5/4/19,1,Spring Semester
5/5/19,0,Break
5/6/19,0,Break
5/7/19,0,Break
5/8/19,0,Break
5/9/19,0,Break
5/10/19,0,Break
5/11/19,0,Break
5/12/19,0,Break
5/13/19,0,Break
5/14/19,0,Break
5/15/19,0,Break
5/16/19,0,Break
5/17/19,0,Break
5/18/19,0,Break
5/19/19,0,Break
5/20/19,2,Summer Semester
5/21/19,2,Summer Semester
5/22/19,2,Summer Semester
5/23/19,2,Summer Semester
5/24/19,2,Summer Semester
5/25/19,2,Summer Semester
5/26/19,2,Summer Semester
5/27/19,0,Memorial Day
5/28/19,2,Summer Semester
5/29/19,2,Summer Semester
5/30/19,2,Summer Semester
5/31/19,2,Summer Semester
6/1/19,2,Summer Semester
6/2/19,2,Summer Semester
6/3/19,2,Summer Semester
6/4/19,2,Summer Semester
6/5/19,2,Summer Semester
6/6/19,2,Summer Semester
6/7/19,2,Summer Semester
6/8/19,2,Summer Semester
6/9/19,2,Summer Semester
6/10/19,2,Summer Semester
6/11/19,2,Summer Semester
6/12/19,2,Summer Semester
6/13/19,2,Summer Semester
6/14/19,2,Summer Semester
6/15/19,2,Summer Semester
6/16/19,2,Summer Semester
6/17/19,2,Summer Semester
6/18/19,2,Summer Semester
6/19/19,2,Summer Semester
6/20/19,2,Summer Semester
6/21/19,2,Summer Semester
6/22/19,2,Summer Semester
6/23/19,2,Summer Semester
6/24/19,2,Summer Semester
6/25/19,2,Summer Semester
6/26/19,2,Summer Semester
6/27/19,2,Summer Semester
6/28/19,2,Summer Semester
6/29/19,2,Summer Semester
6/30/19,2,Summer Semester
7/1/19,2,Summer Semester
7/2/19,2,Summer Semester
7/3/19,2,Summer Semester
7/4/19,0,Independence Day
7/5/19,2,Summer Semester
7/6/19,2,Summer Semester
7/7/19,2,Summer Semester
7/8/19,2,Summer Semester
7/9/19,2,Summer Semester
7/10/19,2,Summer Semester
7/11/19,2,Summer Semester
7/12/19,0,Break
7/13/19,0,Break
7/14/19,0,Break
7/15/19,0,Break
7/16/19,0,Break
7/17/19,0,Break
7/18/19,0,Break
7/19/19,0,Break
7/20/19,0,Break
7/21/19,0,Break
7/22/19,1,Fall Semester
7/23/19,1,Fall Semester
7/24/19,1,Fall Semester
7/25/19,1,Fall Semester
7/26/19,1,Fall Semester
7/27/19,1,Fall Semester
7/28/19,1,Fall Semester
7/29/19,1,Fall Semester
7/30/19,1,Fall Semester
7/31/19,1,Fall Semester
8/1/19,1,Fall Semester
8/2/19,1,Fall Semester
8/3/19,1,Fall Semester
8/4/19,1,Fall Semester
8/5/19,1,Fall Semester
8/6/19,1,Fall Semester
8/7/19,1,Fall Semester
8/8/19,1,Fall Semester
8/9/19,1,Fall Semester
8/10/19,1,Fall Semester
8/11/19,1,Fall Semester
8/12/19,1,Fall Semester
8/13/19,1,Fall Semester
8/14/19,1,Fall Semester
8/15/19,1,Fall Semester
8/16/19,1,Fall Semester
8/17/19,1,Fall Semester
8/18/19,1,Fall Semester
8/19/19,1,Fall Semester
8/20/19,1,Fall Semester
8/21/19,1,Fall Semester
8/22/19,1,Fall Semester
8/23/19,1,Fall Semester
8/24/19,1,Fall Semester
8/25/19,1,Fall Semester
8/26/19,1,Fall Semester
8/27/19,1,Fall Semester
8/28/19,1,Fall Semester
8/29/19,1,Fall Semester
8/30/19,1,Fall Semester
8/31/19,1,Fall Semester
9/1/19,1,Fall Semester
9/2/19,0,Labor Day
9/3/19,1,Fall Semester
9/4/19,1,Fall Semester
9/5/19,1,Fall Semester
9/6/19,1,Fall Semester
9/7/19,1,Fall Semester
9/8/19,1,Fall Semester
9/9/19,1,Fall Semester
9/10/19,1,Fall Semester
9/11/19,1,Fall Semester
9/12/19,1,Fall Semester
9/13/19,1,Fall Semester
9/14/19,1,Fall Semester
9/15/19,1,Fall Semester
9/16/19,1,Fall Semester
9/17/19,1,Fall Semester
9/18/19,1,Fall Semester
9/19/19,1,Fall Semester
9/20/19,1,Fall Semester
9/21/19,1,Fall Semester
9/22/19,1,Fall Semester
9/23/19,1,Fall Semester
9/24/19,1,Fall Semester
9/25/19,1,Fall Semester
9/26/19,1,Fall Semester
9/27/19,1,Fall Semester
9/28/19,1,Fall Semester
9/29/19,1,Fall Semester
9/30/19,1,Fall Semester
10/1/19,1,Fall Semester
10/2/19,1,Fall Semester
10/3/19,1,Fall Semester
10/4/19,1,Fall Semester
10/5/19,1,Fall Semester
10/6/19,1,Fall Semester
10/7/19,1,Fall Semester
10/8/19,1,Fall Semester
10/9/19,1,Fall Semester
10/10/19,1,Fall Semester
10/11/19,1,Fall Semester
10/12/19,0,Fall Break
10/13/19,0,Fall Break
10/14/19,0,Fall Break
10/15/19,0,Fall Break
10/16/19,1,Fall Semester
10/17/19,1,Fall Semester
10/18/19,1,Fall Semester
10/19/19,1,Fall Semester
10/20/19,1,Fall Semester
10/21/19,1,Fall Semester
10/22/19,1,Fall Semester
10/23/19,1,Fall Semester
10/24/19,1,Fall Semester
10/25/19,1,Fall Semester
10/26/19,1,Fall Semester
10/27/19,1,Fall Semester
10/28/19,1,Fall Semester
10/29/19,1,Fall Semester
10/30/19,1,Fall Semester
10/31/19,1,Fall Semester
11/1/19,1,Fall Semester
11/2/19,1,Fall Semester
11/3/19,1,Fall Semester
11/4/19,1,Fall Semester
11/5/19,1,Fall Semester
11/6/19,1,Fall Semester
11/7/19,1,Fall Semester
11/8/19,1,Fall Semester
11/9/19,1,Fall Semester
11/10/19,1,Fall Semester
11/11/19,0,Veterans Day
11/12/19,1,Fall Semester
11/13/19,1,Fall Semester
11/14/19,1,Fall Semester
11/15/19,1,Fall Semester
11/16/19,1,Fall Semester
11/17/19,1,Fall Semester
11/18/19,1,Fall Semester
11/19/19,1,Fall Semester
11/20/19,1,Fall Semester
11/21/19,1,Fall Semester
11/22/19,1,Fall Semester
11/23/19,1,Fall Semester
11/24/19,1,Fall Semester
11/25/19,1,Fall Semester
11/26/19,1,Fall Semester
11/27/19,1,Fall Semester
11/28/19,1,Fall Semester
11/29/19,1,Fall Semester
11/30/19,1,Fall Semester
12/1/19,1,Fall Semester
12/2/19,1,Fall Semester
12/3/19,1,Fall Semester
12/4/19,1,Fall Semester
12/5/19,1,Fall Semester
12/6/19,1,Fall Semester
12/7/19,1,Fall Semester
12/8/19,1,Fall Semester
12/9/19,1,Fall Semester
12/10/19,1,Fall Semester
12/11/19,1,Fall Semester
12/12/19,1,Fall Semester
12/13/19,1,Fall Semester
12/14/19,1,Fall Semester
12/15/19,0,Break
12/16/19,0,Break
12/17/19,0,Break
12/18/19,0,Break
12/19/19,0,Break
12/20/19,0,Break
12/21/19,0,Break
12/22/19,0,Break
12/23/19,0,Break
12/24/19,0,Break
12/25/19,0,Break
12/26/19,0,Break
12/27/19,0,Break
12/28/19,0,Break
12/29/19,0,Break
12/30/19,0,Break
12/31/19,0,Break
